시설명,시설주소,경도,위도,시설종류상세명,동이름,일인가구비율,cctv개수,건물가점,파출소거리역수값,백미터반경주택수,sum,순위
대림1동자치회관,   -   ,126.9062234,37.4953778,   -   ,대림2동,0.08609047526141002,0.089412368,0.034697905142857144,0.002260981011353762,0.23950390348993292,0.45196563290555386,16
신길5동주민센터,   -   ,126.905189,37.501598,   -   ,영등포동,0.18328343799999997,0.089412368,0.04337238142857142,0.0023810666945135116,0.13305772416107384,0.45150697828415876,17
대림3동주민센터,   -   ,126.8983658,37.49829959,   -   ,대림2동,0.08609047526141002,0.011176546,0.052046857714285716,0.236541204,0.06386770759731543,0.4497227905730111,18
서울성모원 노인요양공동생활가정,서울특별시 영등포구 대림로12가길 7-1,126.9046391,37.4914903,노인의료복지시설,영등포본동,0.0,0.055882730000000005,0.008674476285714286,0.0020156267519517383,0.36990047316778524,0.4364733062054513,19
서울성모원,서울특별시 영등포구 대림로12가길 7-1,126.9046391,37.4914903,노인주거복지시설,영등포본동,0.0,0.055882730000000005,0.008674476285714286,0.0020156267519517383,0.36990047316778524,0.4364733062054513,19
임마누엘영등포공동체,서울특별시 영등포구 영신로8길 9201호 (영등포동),126.910438,37.5134302,장애인거주시설,영등포동,0.18328343799999997,0.0,0.026023428857142858,0.009621292449337043,0.2155535131409396,0.4344816724474195,20
신길7동주민센터,   -   ,126.921494,37.506369,   -   ,영등포동,0.18328343799999997,0.078235822,0.034697905142857144,0.0005315573674069091,0.1357188786442953,0.4324676011545593,21
신길7동주민센터,   -   ,126.921494,37.506369,   -   ,영등포동,0.18328343799999997,0.078235822,0.034697905142857144,0.0005315573674069091,0.1357188786442953,0.4324676011545593,21
남부장애인공동생활가정2호,서울특별시 영등포구 영신로17길 16-016(영등포동 401호),126.9066138,37.513494,장애인거주시설,대림2동,0.08609047526141002,0.122942006,0.034697905142857144,0.0027036456930031962,0.1836196593422819,0.43005369143955224,22
미래요양원,서울특별시 영등포구 대림로 88재상빌딩 4층,126.9045686,37.4901201,노인의료복지시설,대림2동,0.08609047526141002,0.067059276,0.034697905142857144,0.002553338115190488,0.23684274900671143,0.42724374352616906,23
좋은사람들,서울특별시 영등포구 도림로 188-13층,126.9018957,37.4958169,정신재활시설,영등포동,0.18328343799999997,0.055882730000000005,0.017348952571428572,0.007967669996129422,0.16233042347651006,0.426813214044068,24
영등포아이존,서울특별시 영등포구 영등포로84길 24-14 2층 (신길동),126.9215045,37.5115856,기타시설,영등포동,0.18328343799999997,0.011176546,0.026023428857142858,0.0013923112099929716,0.19958658624161071,0.42146231030874654,25
영등포본동주민센터,   -   ,126.909331,37.514633,   -   ,영등포동,0.18328343799999997,0.044706184,0.04337238142857142,0.004415909509959293,0.14370234209395974,0.4194802550324904,26
미래요양원2,서울특별시 영등포구 대림로 88재상빌딩 402호,126.9045686,37.4901201,노인의료복지시설,대림2동,0.08609047526141002,0.067059276,0.026023428857142858,0.002553338115190488,0.23684274900671143,0.4185692672404548,27
굿피플복지센터,서울특별시 영등포구 도림로 456101동 상가112호 (문래동3가 문래우정아파트),126.8961413,37.4926276,재가노인복지시설,대림2동,0.08609047526141002,0.122942006,0.034697905142857144,0.013829786918668732,0.15434696002684564,0.4119071333497816,28
대림2동지역아동센터,서울특별시 영등포구 대림로23길 27 (대림동),126.898075,37.4926277,아동복지시설,대림2동,0.08609047526141002,0.089412368,0.034697905142857144,0.03537714809132294,0.16233042347651006,0.4079083199721002,29
영등포동자치회관,   -   ,126.903622,37.525353,   -   ,영등포동,0.18328343799999997,0.033529638,0.04337238142857142,0.013518430778088756,0.13039656967785235,0.4041004578845125,30
은빛사랑1,서울특별시 영등포구 디지털로 392 5층(대림동 정성빌딩)5층 (대림동 정성빌딩),126.9027371,37.4916439,노인의료복지시설,영등포동,0.18328343799999997,0.033529638,0.026023428857142858,0.004563870256127822,0.1490246510604027,0.3964250261736733,31
은빛사랑3,서울특별시 영등포구 디지털로 392 6층 (대림동 정성빌딩)6층 (대림동 정성빌딩),126.9027371,37.4916439,노인의료복지시설,영등포동,0.18328343799999997,0.033529638,0.026023428857142858,0.004563870256127822,0.1490246510604027,0.3964250261736733,31
은빛사랑2,서울특별시 영등포구 디지털로 392 (대림동. 정성빌딩)5층,126.9027371,37.4916439,노인의료복지시설,영등포동,0.18328343799999997,0.033529638,0.026023428857142858,0.004563870256127822,0.1490246510604027,0.3964250261736733,31
가족사랑1,서울특별시 영등포구 도신로204 4층 (신길동),126.9139319,37.5111828,노인의료복지시설,신길동,0.03825479761588135,0.089412368,0.017348952571428572,0.002261014117129307,0.24748736693959733,0.39476449924403656,32
가족사랑2,서울특별시 영등포구 도신로204 3층 (신길동),126.9139319,37.5111828,노인의료복지시설,신길동,0.03825479761588135,0.089412368,0.017348952571428572,0.002261014117129307,0.24748736693959733,0.39476449924403656,32
대림실버1 노인요양공동생활가정,서울특별시 영등포구 디지털로398 2층 (대림동 대성빌딩),126.90316,37.4921073,노인의료복지시설,대림2동,0.08609047526141002,0.055882730000000005,0.026023428857142858,0.004038165254153345,0.20757004969127518,0.3796048490639814,33
대림실버2노인요양공동생활가정,서울특별시 영등포구 디지털로398 5층 (대림동 대성빌딩),126.90316,37.4921073,노인의료복지시설,대림2동,0.08609047526141002,0.055882730000000005,0.026023428857142858,0.004038165254153345,0.20757004969127518,0.3796048490639814,33
도림동주민센터,   -   ,126.895976,37.509424,   -   ,대림2동,0.08609047526141002,0.055882730000000005,0.04337238142857142,0.0014553004655963398,0.18894196830872484,0.37574285546430264,34
영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,126.9079776,37.4975222,장애인기타,영등포동,0.18328343799999997,0.033529638,0.017348952571428572,0.004619675558437952,0.13039656967785235,0.36917827380771884,35
대림2동주민센터,   -   ,126.8982219,37.49288096,   -   ,대림2동,0.08609047526141002,0.067059276,0.052046857714285716,0.048296813099229195,0.11442964277852348,0.3679230648534484,36
새생명노인복지센터,서울특별시 영등포구 대림로35나길 20-1 (대림동 1층),126.8974801,37.4969381,노인기타,대림3동,0.08609047526141002,0.078235822,0.034697905142857144,0.026010071213975423,0.1383800331275168,0.36341430674575936,37
한울지역아동센터,서울특별시 영등포구 가마산로46가길 102층 (대림동),126.8990118,37.5004484,아동복지시설,영등포동,0.18328343799999997,0.044706184,0.034697905142857144,0.011220157949793454,0.07451232553020135,0.348420010622852,38
